endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-25T15:50:47Z	6376e34cb9fc3dab5a718c87	1	2023-12-25T15:50:48.140Z	R_7ruyIMZrv8mviZ1	EN	R_7ruyIMZrv8mviZ1	100	2	41.155	1	1	0	4	2	4	-96.0325	174.70.48.70	2023-12-25T15:48:27Z	139	anonymous	1
2023-12-25T15:51:15Z	5ec6db19304ce10f8c56c111	1	2023-12-25T15:51:15.833Z	R_7gMdEgev6dKpTE6	EN	R_7gMdEgev6dKpTE6	100	3	39.7837	1	1	0	5	2	4	-77.3584	71.207.98.162	2023-12-25T15:49:31Z	103	anonymous	1
2023-12-25T15:51:15Z	6585a72a09f022fbe598d16a	1	2023-12-25T15:51:15.980Z	R_5mDFp4DcK5TvhGg	EN	R_5mDFp4DcK5TvhGg	100	4	48.3148	1	4	0	5	2	4	-116.5291	69.59.65.8	2023-12-25T15:49:15Z	119	anonymous	1
2023-12-25T15:51:18Z	628ecaf78869ed2022d7690f	1	2023-12-25T15:51:18.704Z	R_7fdMGT0ct3ap1MB	EN	R_7fdMGT0ct3ap1MB	100	2	33.5119	1	1	0	5	1	4	-101.9316	108.88.113.28	2023-12-25T15:48:13Z	184	anonymous	2
2023-12-25T15:51:53Z	5ddc7c26370810bfb7e7ae8d	1	2023-12-25T15:51:53.883Z	R_3uF2uwclelZukNw	EN	R_3uF2uwclelZukNw	100	3	26.1522	1	1	0	5	2		-80.3153	66.229.225.65	2023-12-25T15:46:24Z	329	anonymous	1
2023-12-25T15:53:38Z	656f47c38d6a2aa50bccb845	1	2023-12-25T15:53:39.469Z	R_1PX0CMDJx9sBQD3	EN	R_1PX0CMDJx9sBQD3	100	2	40.2363	1	1	0	5	2	4	-75.296	100.11.132.50	2023-12-25T15:50:57Z	161	anonymous	1
2023-12-25T15:53:43Z	5a94362e873cda0001dc66c9	1	2023-12-25T15:53:44.013Z	R_7iCooTVUpleDMw8	EN	R_7iCooTVUpleDMw8	100	1	43.1166	1	1	0	5	2	4	-87.9904	172.59.96.75	2023-12-25T15:50:51Z	172	anonymous	2
2023-12-25T15:53:48Z	5ff0a8832f5671f96de3474c	1	2023-12-25T15:53:48.739Z	R_7AQbnqjEpOIFfwd	EN	R_7AQbnqjEpOIFfwd	100	1	41.2727	1	1	0	5	1	4	-70.0971	73.69.46.49	2023-12-25T15:52:24Z	83	anonymous	1
2023-12-25T15:54:11Z	60fe04ef652fd1fafaa4ae50	1	2023-12-25T15:54:12.622Z	R_6CQyaVMkNy6CaIz	EN	R_6CQyaVMkNy6CaIz	100	1	42.537	1	1	0	5	2	4	-79.1577	76.180.10.86	2023-12-25T15:51:30Z	161	anonymous	1
2023-12-25T15:57:26Z	631e42d73ed7ab9812b91cc2	1	2023-12-25T15:57:27.027Z	R_7JpXbpYEzu51fYU	EN	R_7JpXbpYEzu51fYU	100	3	40.789	1	1	0	5	2	4	-73.7262	69.118.27.66	2023-12-25T15:56:02Z	83	anonymous	1
2023-12-25T15:58:31Z	5a230e4fd5510b0001977feb	1	2023-12-25T15:58:32.528Z	R_7TZTzOGOtLtpIml	EN	R_7TZTzOGOtLtpIml	100	3	36.7407	1	1	0	5	2	4	-95.9272	24.119.33.150	2023-12-25T15:55:41Z	170	anonymous	1
2023-12-25T15:58:34Z	61087b35fb326cf69c073aff	1	2023-12-25T15:58:35.654Z	R_5kUnqBXqAtLpXEw	EN	R_5kUnqBXqAtLpXEw	100	1	28.6344	1	3	0	5	3	4	-81.6221	174.211.228.230	2023-12-25T15:57:08Z	86	anonymous	1
